Class,x,y
C1 C2,continuous,continuous
class,,
C1,0.4993979926163669,0.5402860650693032
C1,0.4962545855145174,0.5151481200980775
C1,0.4520602449798358,0.5229068588409389
C1,0.5103338457704635,0.5245147801867055
C1,0.48161023381518436,0.5164626596446911
C1,0.5025135858599331,0.4882896223258773
C1,0.49941468846646636,0.5097669005489391
C1,0.5669629117421818,0.4805108329546526
C1,0.550013488388629,0.5155482852904438
C1,0.5583692150318946,0.48447968223369187
C1,0.5986878591799711,0.5118279776674584
C1,0.6184727848026104,0.5035168891701463
C1,0.6035960880466842,0.5112106686419804
C1,0.5890384889425728,0.5624616022559026
C1,0.6486248174137274,0.5686125405722857
C1,0.6084227782901682,0.5957937571871542
C1,0.6183290153504115,0.5727283062842241
C1,0.6164747065072842,0.5819790466655151
C1,0.6016629736812572,0.6966866162388459
C1,0.5927350351054146,0.665815373729213
C1,0.5903452395853116,0.6992117957096013
C1,0.5433312232220796,0.7160018063391441
C1,0.5008999844942398,0.7092772125422203
C1,0.4850969363862344,0.7546328389336564
C1,0.4688483081443274,0.7438359573670654
C1,0.4146589896330114,0.784266741858342
C1,0.38278402151931246,0.7174838910309626
C1,0.3796125886698584,0.7472220936202768
C1,0.3451546098999278,0.7821276918539989
C1,0.310144448126719,0.7438689935389036
C1,0.275522275581822,0.7315525916014558
C1,0.2825180512180789,0.649385822055353
C1,0.2770780365340197,0.6339920633098949
C1,0.2725625126732554,0.5426132348931599
C1,0.2852230063023123,0.5263173111755975
C1,0.23894812227557607,0.486428376658951
C1,0.3053389053038508,0.4896708283377881
C1,0.29927706583296837,0.4326998125338456
C1,0.3387727096224691,0.3747092784816397
C1,0.3684515033477089,0.3442967847661887
C1,0.34393857049733745,0.29856527639626235
C1,0.3740136287023136,0.27058398824691593
C1,0.41896843184391275,0.2390451870526445
C1,0.4378106057225184,0.20512608226057616
C1,0.45493135569438875,0.23859573497330197
C1,0.5174061437952375,0.20772526802178645
C1,0.6164965035214331,0.22956993389968955
C1,0.6482844073510943,0.24784014212448385
C1,0.6917309221452833,0.2205995041815208
C1,0.7165737732994922,0.2521255424866912
C1,0.7274331924004968,0.30070634964674847
C1,0.7733096105891796,0.3394745539213545
C1,0.8019170286895293,0.34632300490885093
C1,0.8000522269229432,0.4437800194973989
C1,0.7641284159512005,0.46193216953021315
C1,0.7727301710544552,0.5574310511149858
C1,0.7859171496849121,0.6465450408780404
C1,0.8063154475934147,0.6381527489375837
C1,0.7904294511304286,0.6380396385663728
C1,0.7388260893294136,0.7999028769025603
C1,0.7210354869262107,0.8261758829703271
C1,0.6939960866473908,0.8966517490560818
C1,0.6411300727485318,0.9294026614608837
C1,0.4896555261079008,0.9914596563612886
C1,0.31071851654170735,0.9869407517102744
C1,0.2781183776526074,0.9760812701878769
C1,0.24928236509689425,0.9452184024623285
C1,0.24018098397932816,0.928353035400208
C1,0.21311285133189575,0.9536748549837388
C1,0.19132606900135796,0.8558514282448053
C1,0.1322563082320258,0.8182047602901321
C1,0.1382282148791019,0.7296559171192832
C1,0.08751181027233725,0.6599216328595674
C1,0.041945796329079126,0.46754904346188414
C1,0.09925126644850243,0.2587036426575764
C1,0.04667259825762331,0.16222204587593428
C1,0.12560317916375074,0.09549578750409735
C1,0.1638686827535911,0.04389246270949697
